응답자ID,답변 ID,시작일시,종료일시,D1,점포,고객기대수준,낮은 기대수준 이유,과거 부정적 쇼핑 요소,고객인지품질,고객인지가치,직원 서비스,정보 제공,상품 준비,신속 결제,매장 환경,인도 만족도,인도 불만족 이유,실 대기시간,적정 대기시간,불만 제기 유무,불만 항목,불만 처리 과정 만족도,재이용의향률,제공받고 싶은 서비스,추가 의견
48.0,763-92-51123,2024-04-01 16:14:51,2024-04-01 16:15:29,0524031617800001,명동점,7.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만이 있었지만 제기하지 않았다.,인도 과정 불만 ,,예.,,
49.0,206-40-89928,2024-04-01 17:28:09,2024-04-01 17:30:37,0524032109200012,명동점,6.0,,,6.0,6.0,7.0,6.0,7.0,6.0,5.0,6.0,,,,불만을 제기한 경험이 없다.,,,예.,할인권 발급이 바로 돼면 좋겠어요,물건을 다사고 나오면 할인권이 문자로 오니까 더사지름 못함
50.0,642-53-40757,2024-04-01 18:17:59,2024-04-01 18:21:00,0524031710600003,명동점,6.0,,,6.0,5.0,7.0,7.0,4.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,아니요,
51.0,239-16-90506,2024-04-01 18:47:30,2024-04-01 18:50:17,0524032421200004,명동점,5.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,,
52.0,851-11-73502,2024-04-01 19:15:05,2024-04-01 19:23:21,0124031619800004,부산점,4.0,과거 부정적 쇼핑 경험,상품 품절,4.0,3.0,6.0,5.0,2.0,6.0,6.0,5.0,,,,불만이 있었지만 제기하지 않았다.,상품 품절 및 다양성 부족,,예.,몇년전에 비해 저급한 물건안 전시되고 있다는 강한 느낌,
53.0,181-65-30153,2024-04-01 21:55:49,2024-04-01 21:57:46,0524031603300005,명동점,7.0,,,6.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,할인,
54.0,373-62-14550,2024-04-01 22:12:30,2024-04-01 22:15:57,1724032506600052,인천공항점,7.0,,,6.0,6.0,6.0,5.0,7.0,6.0,6.0,,,,,불만을 제기한 경험이 없다.,,,예.,저렴한 가격에 좋은 제품을 많이 있었으면 좋겠습니다,다양한 구성에 대한 제품들이 있었으면 좋겠으며 쿠폰에 대한 편의성이 더 좋았으면 좋겠습니다
55.0,697-79-02338,2024-04-02 14:05:50,2024-04-02 14:07:22,0124032116900008,부산점,7.0,,,7.0,4.0,7.0,7.0,4.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,,
56.0,597-55-87768,2024-04-02 14:16:29,2024-04-02 14:17:47,0524032505300042,명동점,6.0,,,5.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,,,,불만을 제기한 경험이 없다.,,,예.,,
57.0,423-39-02255,2024-04-02 14:25:54,2024-04-02 14:26:19,1724032607100007,인천공항점,5.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,불만을 제기한 경험이 없다.,,,예.,,
58.0,101-61-81887,2024-04-02 14:26:29,2024-04-02 14:27:07,1424032612400003,인천공항점,5.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,불만을 제기한 경험이 없다.,,,예.,,
59.0,411-61-32965,2024-04-02 14:25:56,2024-04-02 14:29:10,1424032611500017,명동점,6.0,,,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,비행기 게이트가 8번인데 물품 찾으러 42번까지 다녀오는게 넘힘든다.,비행타는 게이트쪽에 물품찾을수있었으면 좋겠다.기타는 모두만족.
60.0,900-86-93490,2024-04-02 14:32:50,2024-04-02 14:38:26,0524032033900003,명동점,6.0,,,3.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,,,,불만이 있었지만 제기하지 않았다.,상품 품절 및 다양성 부족,,예.,좀더 상품이 다양했으면 좋겠다,모든컨셉이 중국인들의 요구에 맞춘듯
61.0,236-90-42211,2024-04-02 14:36:08,2024-04-02 14:40:11,1624032615000002,인천공항점,7.0,,,4.0,4.0,6.0,7.0,7.0,7.0,7.0,,,,,불만을 제기한 경험이 없다.,,,예.,,신라면세점이나 다른 매장은 고객카드가 없어도 전화번호나 여권 확인으로 할인혜택을 받을수있는데 신세계의 경우 신세계카드가 없을경우 적립만 되고 할인서비스는 안되는데 이해할수가 없음.
62.0,915-92-92512,2024-04-02 14:49:37,2024-04-02 14:50:12,0524032237600033,명동점,6.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,,
63.0,646-05-13821,2024-04-02 15:12:43,2024-04-02 15:14:08,1624032615300005,인천공항점,4.0,과거 부정적 쇼핑 경험,"직원 불친절, 상품 품절",7.0,7.0,7.0,4.0,7.0,7.0,7.0,,,,,불만을 제기한 경험이 없다.,,,예.,,
64.0,609-53-82620,2024-04-02 15:16:37,2024-04-02 15:18:11,1524032661300004,인천공항점,5.0,,,6.0,6.0,7.0,6.0,5.0,6.0,6.0,,,,,불만을 제기한 경험이 없다.,,,예.,,
65.0,303-15-90115,2024-04-02 15:24:57,2024-04-02 15:26:01,0524032239200069,명동점,5.0,,,6.0,6.0,6.0,6.0,4.0,5.0,6.0,6.0,,,,불만을 제기한 경험이 없다.,,,예.,,
66.0,387-24-06110,2024-04-02 15:39:38,2024-04-02 15:44:53,0524032305000017,명동점,7.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,,
67.0,623-34-17647,2024-04-02 16:03:09,2024-04-02 16:06:24,0524032403900007,명동점,7.0,,,7.0,5.0,5.0,5.0,3.0,6.0,7.0,6.0,,,,불만을 제기한 경험이 있다.,기타: 결제변경이 안되는 브랜드로,예.,예.,,
68.0,575-13-40721,2024-04-02 16:09:44,2024-04-02 16:10:59,1424032614400002,인천공항점,7.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,불만이 있었지만 제기하지 않았다.,결제오류,,예.,다양한 제품 체험 샘플 받기,
69.0,468-26-84557,2024-04-02 16:10:39,2024-04-02 16:11:21,1724032660100008,인천공항점,5.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,불만을 제기한 경험이 없다.,,,예.,,
70.0,517-91-63326,2024-04-02 15:42:53,2024-04-02 16:24:58,0124031308200006,부산점,7.0,,,6.0,7.0,7.0,6.0,4.0,7.0,5.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,보다 많은 상품 제공,매장 활성화
71.0,573-13-71066,2024-04-02 16:36:18,2024-04-02 16:37:36,1424032610800039,인천공항점,7.0,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,불만을 제기한 경험이 없다.,,,예.,,
72.0,176-68-51006,2024-04-02 20:54:43,2024-04-02 20:55:18,1424032613700039,인천공항점,7.0,,,7.0,7.0,7.0,7.0,5.0,7.0,7.0,,,,,불만을 제기한 경험이 없다.,,,예.,,
73.0,914-32-41452,2024-04-02 21:29:18,2024-04-02 21:30:34,0124032303600003,부산점,7.0,,,3.0,3.0,4.0,4.0,2.0,6.0,5.0,6.0,,,,불만을 제기한 경험이 없다.,,,아니오.,,
74.0,642-61-64103,2024-04-02 22:45:43,2024-04-02 22:46:53,1624032614600006,인천공항점,7.0,,,4.0,5.0,7.0,7.0,7.0,7.0,6.0,,,,,불만을 제기한 경험이 없다.,,,예.,,
75.0,588-06-13164,2024-04-02 23:57:07,2024-04-02 23:59:00,1524032660500013,인천공항점,5.0,,,5.0,7.0,7.0,6.0,6.0,7.0,6.0,,,,,불만을 제기한 경험이 없다.,,,예.,모자,
76.0,962-30-87262,2024-04-03 14:11:49,2024-04-03 14:12:29,0524032219200099,명동점,6.0,,,6.0,6.0,5.0,6.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,,
77.0,204-29-06777,2024-04-03 14:11:54,2024-04-03 14:12:52,0524032039400003,명동점,5.0,,,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,,
78.0,251-44-30513,2024-04-03 14:18:51,2024-04-03 14:19:39,0524032137200001,명동점,7.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,,
79.0,487-72-38311,2024-04-03 14:12:51,2024-04-03 14:22:45,0524032339500022,명동점,4.0,기업이미지,,4.0,4.0,2.0,2.0,1.0,4.0,4.0,1.0,"직원 불친절, 키오스크 사용 불편 및 고장",,,불만이 있었지만 제기하지 않았다.,"직원 불친절, 인도 과정 불만 , 상품 품절 및 다양성 부족",,아니오.,명동점 선글라스 직원 아주머니들은 사는둥 마는둥 서서 자기들끼리 수다떨고 놀고 계심. 인천공항점 키오스크 여권 인식 불가(기계도 딱1대) 일일히 여권번호 입력해서 번호표 발급받음. 인도장 직원들은 쇼핑백 큰사이즈 다 써서 없다며 혹시 이대로 가져가시겠냐고 멀뚱히 서있음. 기본 교육은 시킵시다.,명동점 선글라스 직원 아주머니들은 사는둥 마는둥 서서 자기들끼리 수다떨고 놀고 계심. 인천공항점 키오스크 여권 인식 불가(기계도 딱1대) 일일히 여권번호 입력해서 번호표 발급받음. 인도장 직원들은 쇼핑백 큰사이즈 다 써서 없다며 혹시 이대로 가져가시겠냐고 멀뚱히 서있음. 기본 교육은 시킵시다.
80.0,139-12-84989,2024-04-03 14:21:35,2024-04-03 14:22:49,0124031902300002,부산점,7.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,,
81.0,607-44-69117,2024-04-03 14:25:37,2024-04-03 14:31:15,0524032401400008,명동점,6.0,,,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,,,,불만이 있었지만 제기하지 않았다.,"인도 과정 불만 , 기타: 포인트 등급 쇼핑지원금 사용등 결제 처리 미숙",,예.,,매장 직원 자리 비움이 많음 / 중국인 대응 직원이 많음 / 인도장 키오스 수가 적음 / 인도장 직원이 친절한 응대가 필요함
82.0,550-99-47264,2024-04-03 14:41:28,2024-04-03 14:43:39,0124032109700003,부산점,6.0,,,7.0,6.0,7.0,7.0,6.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,없슴,좀더 다양한 상품이  비치되어 있었으면 합니다
83.0,900-65-78100,2024-04-03 14:36:11,2024-04-03 14:57:15,0524032500500016,명동점,4.0,타 면세점이 익숙함,,6.0,6.0,7.0,7.0,7.0,7.0,7.0,4.0,직원 불친절,,,불만을 제기한 경험이 없다.,,,예.,,
84.0,247-72-77236,2024-04-03 16:51:35,2024-04-03 16:52:21,0524031734200018,명동점,6.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,,
85.0,848-86-95478,2024-04-03 16:53:31,2024-04-03 16:54:29,0124031611700005,부산점,5.0,,,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,,,,불만을 제기한 경험이 없다.,,,예.,,부산도 혜택이 많았으면.지방민은 웁니다
86.0,889-95-87605,2024-04-03 22:12:41,2024-04-03 22:18:05,1624032612600031,부산점,5.0,,,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,없음,신선한  제품들이  많았서면 더 빛날것같아요
87.0,201-39-51638,2024-04-03 22:34:18,2024-04-03 22:35:25,0524032633300013,명동점,5.0,,,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,,,,불만을 제기한 경험이 없다.,,,예.,,
88.0,385-31-55880,2024-04-04 07:48:40,2024-04-04 07:52:38,1424032613500004,인천공항점,7.0,,,7.0,7.0,7.0,7.0,4.0,7.0,7.0,,,,,불만을 제기한 경험이 없다.,,,예.,,친절하고 감사한 마음으로 응답 하세었요
89.0,544-31-01349,2024-04-04 08:56:53,2024-04-04 09:00:57,0524032111600012,명동점,6.0,,,4.0,4.0,6.0,6.0,4.0,6.0,4.0,5.0,,,,불만을 제기한 경험이 없다.,,,아니오.,없음,중국여행객들이 대부분이고 분위기도 중국스러움. 물론 이해는감. 다시 방문할 계획은 없음.
90.0,917-82-14988,2024-04-04 14:03:54,2024-04-04 14:05:39,0524031622400002,인천공항점,4.0,기타: 고객센터 불친절 얘기를 들었다,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,불만을 제기한 경험이 없다.,,,예.,인터넷 면세점 쿠폰 적용 가능 브랜드 안내,유니버스 쿠폰 쓰기 너무 어려워요 ㅠ
91.0,946-84-14577,2024-04-04 14:07:07,2024-04-04 14:07:32,0524031618200025,명동점,6.0,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,불만을 제기한 경험이 없다.,,,예.,,
92.0,208-47-38246,2024-04-04 14:08:31,2024-04-04 14:10:02,0524032329300001,명동점,3.0,기업이미지,,4.0,4.0,4.0,3.0,4.0,3.0,7.0,4.0,직원 불친절,,,불만을 제기한 경험이 없다.,,,아니오.,,
93.0,789-76-50025,2024-04-04 14:10:58,2024-04-04 14:12:41,0124032304100002,부산점,6.0,,,6.0,4.0,6.0,4.0,4.0,6.0,7.0,6.0,,,,불만을 제기한 경험이 없다.,,,예.,커피한잔 할수 있는 공간 필요,만족합니다
94.0,255-27-19196,2024-04-04 14:21:25,2024-04-04 14:22:48,0124032405000001,부산점,5.0,,,5.0,5.0,7.0,7.0,2.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,,
95.0,735-27-19784,2024-04-04 14:27:08,2024-04-04 14:29:44,0124031503500003,부산점,7.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,없다,다양한 제품이 빨리 많이 입고 되면 좋겠다
96.0,431-09-09415,2024-04-04 14:32:21,2024-04-04 14:33:27,1424032814800025,명동점,6.0,,,7.0,6.0,7.0,7.0,7.0,6.0,6.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,화장폼,없다
97.0,823-22-47440,2024-04-04 14:43:02,2024-04-04 14:46:29,0524032610100002,명동점,6.0,,,5.0,6.0,7.0,7.0,4.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,휴식공간,입점 브랜드가 많으면 좋은듯 합니다
98.0,159-48-85642,2024-04-04 14:44:09,2024-04-04 14:47:10,1724032807200030,인천공항점,6.0,,,6.0,6.0,7.0,6.0,6.0,7.0,6.0,,,,,불만을 제기한 경험이 없다.,,,예.,,브랜드명이 입구 전체 보이게 있었으면 함
99.0,325-89-62710,2024-04-04 17:11:26,2024-04-04 17:11:54,1424032811700003,인천공항점,5.0,,,5.0,5.0,6.0,5.0,5.0,5.0,6.0,,,,,불만을 제기한 경험이 없다.,,,예.,,
100.0,699-04-88225,2024-04-04 17:40:27,2024-04-04 17:42:58,0124032619800003,부산점,4.0,과거 부정적 쇼핑 경험,"기타: 입점 브랜드 너무 없음
상품도 너무 없음",4.0,7.0,7.0,6.0,4.0,6.0,6.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,상품 다양성,
101.0,155-85-25349,2024-04-04 18:43:29,2024-04-04 18:45:15,0124032607900001,부산점,6.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,면세점 행사에 적극홍보해주셔요,연세점이용하기 편리하고좋았어요
102.0,780-30-96351,2024-04-04 19:58:02,2024-04-04 19:58:38,0524032330700011,명동점,7.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,,
103.0,835-48-34162,2024-04-04 21:13:27,2024-04-04 21:14:01,0524032337600114,명동점,6.0,,,5.0,5.0,6.0,5.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,,
104.0,146-96-38216,2024-04-04 21:29:38,2024-04-04 21:30:51,0124031506700001,부산점,5.0,,,5.0,5.0,4.0,5.0,7.0,5.0,6.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,부산면세점에 샤넬매장 만들어주세요,
105.0,886-46-66541,2024-04-04 22:21:47,2024-04-04 22:23:19,1424032616500002,인천공항점,5.0,,,5.0,5.0,6.0,6.0,6.0,7.0,7.0,,,,,불만을 제기한 경험이 없다.,,,예.,,
106.0,667-46-35145,2024-04-05 14:03:25,2024-04-05 14:06:21,0524031608900026,명동점,5.0,,,6.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,,
107.0,576-57-86533,2024-04-05 14:12:01,2024-04-05 14:17:02,0524032322400003,명동점,4.0,타 면세점이 익숙함,,4.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,"직원 불친절, 인도 시 장시간 대기",21분 ~ 30분,10,불만을 제기한 경험이 없다.,,,예.,VIP라운지 체험으로 이용해봤는데 너무 편안하고 좋았습니다. 다음에도 이용할 수 있는 기회가 있었으면 좋겠습니다.,명동점 티니핑 판매하시는 분 매우 불친절합니다. 어디에도 제품을 만지지 말라는 안내문구도 없었는데 제가 구매를 하기 위해 제품을 집으니 눈으로만 봐달라고 하면서 기분 나쁜 태도로 응대하였습니다. 옆쪽에 카카오프렌즈는 제품 앞쪽에 샘플을 진열해두고 직원이 친절하게 샘플 만져봐도 된다고 하셔서 좋은 기억이 있었는데 조카 선물로 티니핑 구매하러 갔는데 직원의 불친절한 응대로 기분이 좋지 못했습니다. 제품 구매 전에 이 제품이 맞는지 확인 하려면 제품 뒷면을 봐야 하는데 그것도 못하게 하면 왜 판매를 하는지 모르겠습니다. 그럴거면 샘플이라도 구비를 해두는게 좋지 않을까 생각합니다. 다음에도 조카를 위해 구매하러 방문을 하겠지만 판매나 고객 응대 방식은 바꾸는게 좋을 것 같습니다.
108.0,146-72-59847,2024-04-05 14:25:08,2024-04-05 14:25:33,0524032422100052,명동점,5.0,,,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,,,,불만을 제기한 경험이 없다.,,,예.,,
109.0,978-67-16317,2024-04-05 14:24:55,2024-04-05 14:25:59,0524032534200061,명동점,7.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,이벤트 공지,담당 직원의 친절함에 매우 감동받았습니다.
110.0,604-05-38873,2024-04-05 14:41:54,2024-04-05 14:44:45,0524032426900034,명동점,7.0,,,4.0,4.0,6.0,7.0,3.0,6.0,6.0,6.0,,,,불만이 있었지만 제기하지 않았다.,상품 품절 및 다양성 부족,,예.,,
111.0,297-79-16847,2024-04-05 15:32:52,2024-04-05 15:34:16,0124031910700003,부산점,7.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,,
112.0,137-34-90491,2024-04-05 14:33:46,2024-04-05 15:46:07,0124032617700001,부산점,1.0,"과거 부정적 쇼핑 경험, 타 면세점이 익숙함",상품 품절,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,,,,불만을 제기한 경험이 없다.,,,예.,,
113.0,546-50-31453,2024-04-05 17:54:56,2024-04-05 17:55:49,0124032418000003,부산점,7.0,,,7.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,적립금 이벤트,
114.0,511-37-51215,2024-04-05 18:10:00,2024-04-05 18:14:53,0124032516900004,부산점,4.0,기타: 매장수규모가적다코로나이전보다적고^의류매장이너무없다,,6.0,7.0,7.0,7.0,5.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,다양한의류매장이많으면가겠다,코로나전만큼이라도규모가같았으면좋겠다
115.0,374-44-51527,2024-04-06 14:07:30,2024-04-06 14:11:07,0524032105400010,명동점,7.0,,,5.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,,,,불만이 있었지만 제기하지 않았다.,"기타: 고객센터에 너무 수시로 올라가야 하는점이 불편했어요.(페이백/로그인오류 등으로 인해) 다양한 할인행사가 있었지만 중복 할인 안되고 그저 품목을 많이 사야 할인이 되는 형태만 있어서 아쉬웠고, 현재 환율이 안좋아서 더 많은 할인이 필요했습니다.",,예.,,페이백 행사는 좀 구매창구에서 할 수 있게 권한을 주시면 좋겠습니다.
116.0,573-38-54547,2024-04-06 14:10:36,2024-04-06 14:14:10,0524032139400005,명동점,7.0,,,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,,의류매장이 더있음좋을거같은데요.
117.0,231-44-07015,2024-04-06 14:22:57,2024-04-06 14:23:24,0524031410400011,인천공항점,6.0,,,6.0,6.0,7.0,6.0,5.0,7.0,7.0,,,,,불만을 제기한 경험이 없다.,,,예.,,
118.0,643-84-72599,2024-04-06 14:33:49,2024-04-06 14:35:00,0124032716100005,부산점,7.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,더 다양한 제품,없습니다!
119.0,819-73-86166,2024-04-06 15:15:16,2024-04-06 15:15:37,0524032633700003,명동점,7.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,,
120.0,727-89-17914,2024-04-06 15:58:14,2024-04-06 16:00:19,0524031637600072,명동점,7.0,,,5.0,4.0,6.0,6.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,,
121.0,212-24-31036,2024-04-06 18:42:42,2024-04-06 18:44:05,0124031509800001,부산점,5.0,,,6.0,5.0,7.0,7.0,7.0,6.0,6.0,6.0,,,,불만을 제기한 경험이 없다.,,,예.,,
122.0,726-70-68623,2024-04-06 20:20:26,2024-04-06 20:22:07,0124032417000002,부산점,5.0,,,4.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,,,,불만을 제기한 경험이 없다.,,,예.,,
123.0,331-00-89359,2024-04-07 06:00:23,2024-04-07 06:02:55,0124032203200001,부산점,6.0,,,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,없다,만족합니다
124.0,735-84-22119,2024-04-07 14:02:57,2024-04-07 14:04:04,0524031707700001,명동점,6.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,젠틀몬스터도 포인트 사용하게 해주세요,면세포인트 적립 모든 브랜드 가능하게 해주세요
125.0,330-24-17332,2024-04-07 14:03:09,2024-04-07 14:06:14,0524031734500013,명동점,6.0,,,4.0,5.0,2.0,2.0,1.0,4.0,4.0,4.0,직원 불친절,,,불만이 있었지만 제기하지 않았다.,"직원 불친절, 상품 품절 및 다양성 부족",,예.,,
126.0,679-50-39437,2024-04-07 14:12:02,2024-04-07 14:12:57,0524032122100021,명동점,5.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,,페이백 관련 설명이 더 도식화되게 쉽게 인식할 수 있었으면 좋겠더
127.0,861-33-81843,2024-04-07 14:16:14,2024-04-07 14:17:13,0524032837400022,명동점,5.0,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,불만을 제기한 경험이 없다.,,,예.,할인소식,친절하게 잘챙겨주셔서 감사합니다
128.0,347-70-22912,2024-04-07 14:19:38,2024-04-07 14:20:19,0524031408900004,명동점,7.0,,,6.0,6.0,7.0,7.0,4.0,7.0,7.0,7.0,,,,불만을 제기한 경험이 없다.,,,예.,,재고가 채워졌으면 좋겠어요
